
# Surface 0 of 1 surfaces

# Curve title: ""pgfplots_contourtmp0.dat""
# Contour 0, label:      0.4
 0.666656  0.245934  0.4 
 0.595451  0.166658  0.4 
 0.546035 -8.3e-06  0.4 
 0.595451 -0.166674  0.4 
 0.666656 -0.245951  0.4 
 0.833322 -0.191532  0.4 
 0.850485 -0.166674  0.4 
 0.889258 -8.3e-06  0.4 
 0.850485  0.166658  0.4 
 0.833322  0.191515  0.4 
 0.666656  0.245934  0.4 


# Contour 1, label:      0.3
 0.49999  0.510292  0.3 
 0.492207  0.49999  0.3 
 0.400839  0.333324  0.3 
 0.351832  0.166658  0.3 
 0.336387 -8.3e-06  0.3 
 0.351832 -0.166674  0.3 
 0.400839 -0.33334  0.3 
 0.492207 -0.500006  0.3 
 0.49999 -0.510309  0.3 
 0.666656 -0.593357  0.3 
 0.833322 -0.570211  0.3 
 0.940394 -0.500006  0.3 
 0.999988 -0.447546  0.3 
 1.0792 -0.33334  0.3 
 1.14404 -0.166674  0.3 
 1.16441 -8.3e-06  0.3 
 1.14404  0.166658  0.3 
 1.0792  0.333324  0.3 
 0.999988  0.447529  0.3 
 0.940394  0.49999  0.3 
 0.833322  0.570195  0.3 
 0.666656  0.59334  0.3 
 0.49999  0.510292  0.3 


# Contour 2, label:      0.2
 0.666656  0.8732  0.2 
 0.548419  0.833322  0.2 
 0.49999  0.816693  0.2 
 0.358212  0.666656  0.2 
 0.333324  0.631251  0.2 
 0.282504  0.49999  0.2 
 0.241765  0.333324  0.2 
 0.2199  0.166658  0.2 
 0.213002 -8.3e-06  0.2 
 0.2199 -0.166674  0.2 
 0.241765 -0.33334  0.2 
 0.282504 -0.500006  0.2 
 0.333324 -0.631268  0.2 
 0.358212 -0.666672  0.2 
 0.49999 -0.816709  0.2 
 0.548419 -0.833338  0.2 
 0.666656 -0.873216  0.2 
 0.833322 -0.857099  0.2 
 0.887312 -0.833338  0.2 
 0.999988 -0.781313  0.2 
 1.13541 -0.666672  0.2 
 1.16665 -0.633205  0.2 
 1.2622 -0.500006  0.2 
 1.33332 -0.343781  0.2 
 1.33786 -0.33334  0.2 
 1.38208 -0.166674  0.2 
 1.39622 -8.3e-06  0.2 
 1.38208  0.166658  0.2 
 1.33786  0.333324  0.2 
 1.33332  0.343764  0.2 
 1.2622  0.49999  0.2 
 1.16665  0.633188  0.2 
 1.13541  0.666656  0.2 
 0.999988  0.781297  0.2 
 0.887312  0.833322  0.2 
 0.833322  0.857083  0.2 
 0.666656  0.8732  0.2 


# Contour 3, label:      0.1
 0.666656  1.20931  0.1 
 0.503021  1.16665  0.1 
 0.49999  1.16597  0.1 
 0.333324  1.04884  0.1 
 0.300884  0.999988  0.1 
 0.213316  0.833322  0.1 
 0.166658  0.695313  0.1 
 0.160321  0.666656  0.1 
 0.131999  0.49999  0.1 
 0.114877  0.333324  0.1 
 0.105695  0.166658  0.1 
 0.102794 -8.3e-06  0.1 
 0.105695 -0.166674  0.1 
 0.114877 -0.33334  0.1 
 0.131999 -0.500006  0.1 
 0.160321 -0.666672  0.1 
 0.166658 -0.695311  0.1 
 0.213342 -0.833338  0.1 
 0.300884 -1  0.1 
 0.333324 -1.04886  0.1 
 0.49999 -1.16599  0.1 
 0.503021 -1.16667  0.1 
 0.666656 -1.20933  0.1 
 0.833322 -1.1973  0.1 
 0.923355 -1.16667  0.1 
 0.999988 -1.14356  0.1 
 1.16665 -1.05014  0.1 
 1.22829 -1  0.1 
 1.33332 -0.903819  0.1 
 1.3955 -0.833338  0.1 
 1.49999 -0.676853  0.1 
 1.50652 -0.666672  0.1 
 1.59085 -0.500006  0.1 
 1.6418 -0.33334  0.1 
 1.66665 -0.183  0.1 
 1.67003 -0.166674  0.1 
 1.68176 -8.3e-06  0.1 
 1.67004  0.166658  0.1 
 1.66665  0.183002  0.1 
 1.6418  0.333324  0.1 
 1.59085  0.49999  0.1 
 1.50654  0.666656  0.1 
 1.49999  0.676858  0.1 
 1.39551  0.833322  0.1 
 1.33332  0.903818  0.1 
 1.22831  0.999988  0.1 
 1.16665  1.05014  0.1 
 0.999988  1.14356  0.1 
 0.923389  1.16665  0.1 
 0.833322  1.19729  0.1 
 0.666656  1.20931  0.1 


# Contour 4, label: -2.78e-17
 2.33584e-07  1.99998 -2.77556e-17 
 2.33737e-07  1.83332 -2.77556e-17 
 2.3371e-07  1.66665 -2.77556e-17 
 2.34778e-07  1.49999 -2.77556e-17 
 2.37362e-07  1.33332 -2.77556e-17 
 2.32648e-07  1.16665 -2.77556e-17 
 2.34231e-07  0.999988 -2.77556e-17 
 2.32514e-07  0.833322 -2.77556e-17 
 2.34051e-07  0.666656 -2.77556e-17 
 2.34445e-07  0.49999 -2.77556e-17 
 2.33589e-07  0.333324 -2.77556e-17 
 2.34218e-07  0.166658 -2.77556e-17 
 2.31885e-07 -8.3e-06 -2.77556e-17 
 2.34218e-07 -0.166674 -2.77556e-17 
 2.33589e-07 -0.33334 -2.77556e-17 
 2.34445e-07 -0.500006 -2.77556e-17 
 2.32854e-07 -0.666672 -2.77556e-17 
 2.34093e-07 -0.833338 -2.77556e-17 
 2.31679e-07 -1 -2.77556e-17 
 2.32648e-07 -1.16667 -2.77556e-17 
 2.37362e-07 -1.33334 -2.77556e-17 
 2.34778e-07 -1.5 -2.77556e-17 
 2.33707e-07 -1.66667 -2.77556e-17 
 2.33691e-07 -1.83333 -2.77556e-17 
 2.33649e-07 -2 -2.77556e-17 


# Contour 5, label:     -0.1
-0.833338  1.1973 -0.1 
-0.923408  1.16665 -0.1 
-1  1.14356 -0.1 
-1.16667  1.05013 -0.1 
-1.2283  0.999988 -0.1 
-1.33334  0.903798 -0.1 
-1.39551  0.833322 -0.1 
-1.5  0.676832 -0.1 
-1.50654  0.666656 -0.1 
-1.59085  0.49999 -0.1 
-1.6418  0.333324 -0.1 
-1.66667  0.182903 -0.1 
-1.67003  0.166658 -0.1 
-1.68176 -8.3e-06 -0.1 
-1.67003 -0.166674 -0.1 
-1.66667 -0.182895 -0.1 
-1.6418 -0.33334 -0.1 
-1.59085 -0.500006 -0.1 
-1.50652 -0.666672 -0.1 
-1.5 -0.676823 -0.1 
-1.3955 -0.833338 -0.1 
-1.33334 -0.903795 -0.1 
-1.22828 -1 -0.1 
-1.16667 -1.05013 -0.1 
-1 -1.14356 -0.1 
-0.923376 -1.16667 -0.1 
-0.833338 -1.19731 -0.1 
-0.666672 -1.20934 -0.1 
-0.502981 -1.16667 -0.1 
-0.500006 -1.166 -0.1 
-0.33334 -1.04878 -0.1 
-0.300962 -1 -0.1 
-0.213339 -0.833338 -0.1 
-0.166674 -0.695383 -0.1 
-0.160321 -0.666672 -0.1 
-0.131999 -0.500006 -0.1 
-0.114876 -0.33334 -0.1 
-0.105695 -0.166674 -0.1 
-0.102794 -8.3e-06 -0.1 
-0.105695  0.166658 -0.1 
-0.114876  0.333324 -0.1 
-0.131999  0.49999 -0.1 
-0.160321  0.666656 -0.1 
-0.166674  0.695385 -0.1 
-0.213313  0.833322 -0.1 
-0.300882  0.999988 -0.1 
-0.33334  1.04887 -0.1 
-0.500006  1.16599 -0.1 
-0.502981  1.16665 -0.1 
-0.666672  1.20932 -0.1 
-0.833338  1.1973 -0.1 


# Contour 6, label:     -0.2
-0.833338  0.857095 -0.2 
-0.887355  0.833322 -0.2 
-1  0.781307 -0.2 
-1.13544  0.666656 -0.2 
-1.16667  0.6332 -0.2 
-1.26222  0.49999 -0.2 
-1.33334  0.34378 -0.2 
-1.33788  0.333324 -0.2 
-1.38211  0.166658 -0.2 
-1.39625 -8.3e-06 -0.2 
-1.38211 -0.166674 -0.2 
-1.33788 -0.33334 -0.2 
-1.33334 -0.343797 -0.2 
-1.26222 -0.500006 -0.2 
-1.16667 -0.633216 -0.2 
-1.13544 -0.666672 -0.2 
-1 -0.781324 -0.2 
-0.887355 -0.833338 -0.2 
-0.833338 -0.857112 -0.2 
-0.666672 -0.873231 -0.2 
-0.548382 -0.833338 -0.2 
-0.500006 -0.816729 -0.2 
-0.358202 -0.666672 -0.2 
-0.33334 -0.631308 -0.2 
-0.282502 -0.500006 -0.2 
-0.241762 -0.33334 -0.2 
-0.219898 -0.166674 -0.2 
-0.213 -8.3e-06 -0.2 
-0.219898  0.166658 -0.2 
-0.241762  0.333324 -0.2 
-0.282502  0.49999 -0.2 
-0.33334  0.631292 -0.2 
-0.358202  0.666656 -0.2 
-0.500006  0.816713 -0.2 
-0.548382  0.833322 -0.2 
-0.666672  0.873214 -0.2 
-0.833338  0.857095 -0.2 


# Contour 7, label:     -0.3
-0.833338  0.570212 -0.3 
-0.940434  0.49999 -0.3 
-1  0.447549 -0.3 
-1.07923  0.333324 -0.3 
-1.14407  0.166658 -0.3 
-1.16443 -8.3e-06 -0.3 
